title,review_text,rating,date,user,movie_title,sentiment
A Metaphor of Love for Ordinary Lives,"Anybody who thinks this film is about multiverses really misses the point. The multiverses are simply metaphors for the more ""successful"" or exciting lives that we sometimes dream that we might have had. To quote the summarising lines ""Here all we get are a few specks of time where any of this actually makes any sense"". The reply is ""Then I will cherish those few specks of time"". So the meaning of life isn't about success or glamour or achievement. As the film says in life ""Nothing matters"" (or nothing really matters - like Freddy said!). So life is about relationships and those few ""specks of time"" when we share with others the magic moments that make the.golden memories that define our lives. Just a few magic specks of time.
119 out of 204 found this helpful. Was this review helpful? Sign in to vote.
Permalink",8/10,26 January 2023,dvqpbfp,Everything Everywhere All at Once (2022),NEGATIVE
Bit incredulous at the amount of Oscars....,"Firstly I should say I thought the actors did put in some very good performances and I can see why they were nominated although as to whether they deserved to beat some of their competitors is another matter.

I have to say I found this film to be tedious and almost unenjoyable to watch. It feels like a film made for the TikTok generation - no overall coherence with nuggets of scenes rammed together. Is this a film I would ever bother watching again - absolutely not.

Yes it is different - in much the same way The Artist was (and who talks about that film anymore?) but that doesn't make it good. It aims for a profound message whilst its style is overwhelmingly superficial. It's a film with little artistic merit or dare I say beauty (I am talking about the scenes and cinematography here not the actors) and it definitely did not move me except to pray it was going to finish.

In short it barely ticks the boxes of what I'd consider to be essential criteria for a great movie. Maybe this is the first of a new wave of this type of film and I am not getting it but when it had finished I felt pretty much nothing.",6/10,13 March 2023,JBLOSS,Everything Everywhere All at Once (2022),NEGATIVE
What?,"Im embarrassed for Hollywood. Not criticizing the actors, Im sure they are good- but Im not going to pretend this movie was good. Are people doing this to seem smart? Not working. I compare this movie to a nighmare about a completely unmanageable life without peace. How is this a good movie? What is going on? Most of the reviews are horrible yet it won all the awards. No. Im all about creativity but no way. I could not even watch all the way through. It was like a train wreck meets drowning and a panic attack. Academy, who are you? Please stop; it sort of makes the Academy seem unhinged. I think there are enough lying liars in the world without pretending Horrible movies are good movies. From now on, the nominated movies will be my list of ""do not watch under any circumstances."" The opposite of everything is true is now the United States.
69 out of 104 found this helpful. Was this review helpful? Sign in to vote.
Permalink",No rating,13 March 2023,mreynolds-62631,Everything Everywhere All at Once (2022),NEGATIVE
A beautifully unique exploration of nihilism,"Wow, what a movie. Being able to be so wacky yet so profound is difficult, but this movie is able to to do it all at once(no pun intended)! The main characters exploration of her relationships with her father, husband, and especially her daughter ground the movie, but it's willingness to turn the mundane what if scenarios that we make up in our heads into plot points is truly something special. While it drags on just a tad near the end, this movie is a must watch, and expect it to get some Oscar nods this coming year.
216 out of 385 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9/10,26 March 2022,orriansylvesterarnold,Everything Everywhere All at Once (2022),POSITIVE
"I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish, I Wish","I wish I could lend my eyes and ears and my mind to the ones who didn't quite grasp this movie so they too could see how every single scene in it is a marvel.

One guy in a review below misses the entire point while debating the complexities of a multiverse. How do you explain a movie ike this to someone like that? You can't.
119 out of 210 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10/10,25 August 2022,Brave-Fart,Everything Everywhere All at Once (2022),POSITIVE
What a perfect title for this movie.,"It was everything everywhere all at once. Sometimes too many things, too many places at once and you can get lost, but it helps to focus on things.

Obviously, the amazing Michelle Yeoh is one thing to focus on. The whole reason I myself came to see this flick in the first place. Much as this movie gives you to absorb it was easy to keep my eyes on the beautiful Yeoh.

Oh, and the kid from Indiana Jones and the Temple of Doom is in this flick. He's older odiously but he still sounds like the kid form The Goonies. How lucky he was he got to play Yeoh's baby daddy in this joint.

Last and definitely not least it was good to see James Wong in this film. You could tell they most likely made some filming adjustments to assure the 90 something year old actor can do the role but that's what you do when you have legends do your flick.

Speaking of legends, almost forgot about Jamie lee Curtis who seem like she was having fun in her role.

The fact that this movie is about a multiverse I low key was expecting a multiverse connection between who Yeoh plays in this movie, and her character in Shang shi. That would have been cool.

It's interesting that this like the third movie that came out in March that's about the mommy daughter relationship between Asian women. What's even more interesting is how they go in order. Turning Red is about a 13-year-old and Her mom, Umma is about an 18-year-old and her mom and the girl playing Yeoh's daughter looks like she's possibly in her early 20s. Don't know when this became a hot plot in movies, but I will admit I prefer how the story lays out here (but only because I relate more to an Asian woman in her 20s over a middle schooler)

The music in this film is great. The movie was filmed in the context that the story is about a laundromat owner in her mid-life dealing with where she came from and where she's going, but the music actually fits perfectly into the ideal of this woman being the key to saving the multiverse and it made for a lot of the entertainment. Just these big orchestra cues that make it sound like I'm watching Dune contradicting, the image of Yeoh being a worn-out blue-collar mom. Spectacular!

I say it's good. It's all over the place and it can be a handle to process, but it has a good cast to concentrate on.",9/10,26 March 2022,subxerogravity,Everything Everywhere All at Once (2022),POSITIVE
Near Flawless Film,"Rarely does a movie hit me hard and I go along for the ride. Every moment has a spectacle to it. Even the simplicity of having your taxes done. Often silly, mostly confusing but entirely entertaining. It was great to see Short Round back on the big screen with a very glamoured down Michelle Yeoh as a married couple on the brink of fracturing a family unit.

The story is of, Evelyn, a woman who has never really committed to much in life. She has many interest but many where she isn't fully invested in. In this case, her family lives above the laundromat that is failing. They are being audited, but yet she has big dreams to expand her enterprise. Her husband (the fore mentioned Ke Huy Quan) Waymond, is a kindly follower and believer of his wife who seems to focus more on the bad than the good. Pessimist, if we are to be formal. It is the Chinese New Year, and many people are invited to celebrate with this family, including a Grand-Father who is labeled as a man set in his ways and wouldn't understand the same-sex relationship of his grandaughter Joy (Stephanie Hsu). What follows is a grand adventure, first at the IRS building (of all places) and eventually to distant alternate universes to which shows her the way her life may have gone had certain things didn't take place. I absolutely loved the fact that Jamie Lee Curtis plays the uptight auditor, who seems perfectly fine in the core universe to which all revolve around. Evelyn, on the other hand, taps into her other universes to gather the skills needed to fight a fracture in the timelines that sneak into her mundane life.

Yes, there is a message here. And...to be honest, it nearly derails the film itself. But it was required to tie in the meaning of everything that is going on. That we are made of experiences of every universe that exists out there (if you believe in metaphysics) and that they road you didn't take, through gained experiences, with some that even was more enticing then the present one, means we would never have known our other lives. Children wouldn't be born, love would be lost, relationships move on. It is the grand question of whether or not if we got a glimpse of that road we didn't take, would it all mean anything. In this case, I say it almost derails because the universes effect one another. And in this story, it even bridges them. Which to some, may feel like a cheat. However, the fact that I even ask this question makes it a vastly interesting story. That is for you to decide.

The movie is exciting, vibrant, energetic and feels absolutely unique. It allows the viewer to slowly tie the ends together, and perhaps sometimes gets too far ahead. But doesn't let you lose yourself too much. What it isn't is boring. It is captivating and fresh. And, look, who can hate a scene of people being beaten with rubber phalluses?

That said, it is one of the most interesting movies of 2022 and hopefully stays in the minds of awards in the future. Because it deserves a bigger audience. These are the types of fun, philosophical questions buoyed by comedy that we need.

I go back to Ke Huy Quan. This guy can do funny and also bring a tug to your heart so easily. It's so hard to imagine him as the little boy from ""Indiana Jones And The Temple Of Doom"" because, here he shows so much range. His natural charm is shown through his love for Evelyn. He seems to be suffering through a fracture himself. He plays many roles here as well. Because, in many universes in life, the theory here may be that we will run into people we are meant to run into regardless of choices. That's a very romanticized view on the universe.

Kudos to The Daniels for their talent and joy of cinema. It would not surprise me if they helm a larger film in the future. Perhaps they can re-vamp a comic book franchise into something much more unique.

Thank you for this movie.",9/10,1 April 2022,statuskuo,Everything Everywhere All at Once (2022),POSITIVE
One word: OVERRATED.,"Having seen countless raving reviews about this movie both on IMDb, and even more so on Twitter, I thought ""damn, I have to go see this ASAP"". I went in expecting something incredible, movie of the year standard, but wow was I disappointed.

Literally 75% of the movie is fight scenes, like okay it was cool at the start but 2 hours in and still?? 'Everything Everywhere' is perfect for people with a short attention span because there's always something ridiculous going on. I understood what they were trying to do with the plot but honestly nothing stuck, it just felt shallow.

Don't get me wrong it's not a bad film, but it's nowhere near these 10/10 reviews that's being advertised.
411 out of 636 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6/10,20 April 2022,thriller08,Everything Everywhere All at Once (2022),NEGATIVE
Shut up and just appreciate your life!,"What better, more urgent message can a film have these days? What's so uncool about movies with messages anyways? Sometimes we desperately need them. I read a couple of reviews lightly mocking any attempt to find deeper meaning amid all the silliness, as if there wasn't enough already on the surface. What if we stopped equating tiny with insignificant? What if the more minuscule we discovered ourselves to be, the LARGER our world became, and the more SIGNIFICANT we felt? So it's not surprising that Daniels take us on the most inventive, overstuffed, relentless journey only to land us in the simplest, most heartfelt of places. That's the real judo-move here -- an infectious, goofy sweetness that extends even to the (hundreds? Thousands?) of action set pieces. Anyone can dimension-hop and fight the baddies. This combination of heart and spirit is the Daniels own. Also, for anyone who's putting together the next time capsule of human civilization, please consider the scene of Michelle Yeoh and Jaime Lee Curtis dancing with wiener fingers.
64 out of 120 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10/10,26 March 2022,carlosegcaballero,Everything Everywhere All at Once (2022),POSITIVE
It Seemed Endless,"There's a point here where we are swept up in sensory overload, where so much stuff is thrown at us that we tune it out. I reached a point about two-thirds through this where I couldn't get my mind back in it. Have we reached a point where we have no expectations of a conclusion. When one has someone playing multiple characters in multiple settings, there needs to be something tying it together. The protagonist needs to be someone we identify with who has wishes and hopes that lead us on. She seemed as confused as the storyteller and the husband. I guess I'll read some more about this film and hope with guidance to try to figure it out a bit. Obviously, all these universes and all this actions (way too much battling in my estimation) are leading somewhere. I thought the film had ended about six times. I don't mind being brought back in, but I wish I understood where we just landed. Yes, there is a lot going on and it is violently splashed on the screen. But I ended up exhausted and unsatisfied.
539 out of 841 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6/10,3 April 2023,Hitchcoc,Everything Everywhere All at Once (2022),NEGATIVE
Some of the most fun I've ever had while watching a movie.,"There's really something for just about everyone in this movie. It's part Kung-fu action, part absurdist comedy, part cerebral sci-fi, and part indie family drama. I think this is an instant classic that uses the art of cinema and movie-making to it's fullest potential.

They really throw everything AND the kitchen sink at the wall and somehow it all sticks and becomes a really fun and really special film that I would recommend to pretty much anyone.

Michelle Yeoh is fantastic as is the whole cast. The writing and direction is phenomenal and innovative and creative and it features of the best editing I've ever seen. It's a really wild movie, but if you sit back and absorb it, I think you'll have a good time.
73 out of 139 found this helpful. Was this review helpful? Sign in to vote.
Permalink",10/10,25 March 2022,jakem-64235,Everything Everywhere All at Once (2022),POSITIVE
Way overhyped,"This film almost unanimously received praise from both critics and audience alike. People even exaggeratedly rank it as one of the greatest films ever or the best they've ever seen. Going into this movie, my expectations were really high And I really wanted to be part of the majority who loves this movie. But unfortunately the opposite happened and I didnt like it. While I appreciate that this movie was made on a relatively small budget and managed to get some things right as it had so much potential with its strong female lead, philosophical component and some good action to move it along. But it fell really short. It is long and meandering. Visually confusing, thematically unoriginal. The first half was repetitive, boring and also quite silly. Half of the time I don't know what are they fighting for or what the heck is going on. And what was supposed to be the multiverse just felt like the characters were wearing silly different costumes. It is not until the last act that things of relevance happened. The performance from the cast was great though.
1,989 out of 3,314 found this helpful. Was this review helpful? Sign in to vote.
Permalink",6/10,23 May 2022,Abdulxoxo,Everything Everywhere All at Once (2022),NEGATIVE
"It's okay people, you're not alone!","With regard to the hordes of people who have praised this film, I've abandoned the idea of the ""Emperor's new clothes"" or herd dynamics in favour of a medical disorder of epidemic proportions - this being Visual Agnosia. I have of course questioned whether it's a personal failing on my own behalf but dropped this idea following consultation with other likeminded individuals who seem tuned in to the here and now. Let's be clear, I like quirky, and I recognise and appreciate originality, and of course clever humour and emotional depth. These are all central components in my appreciation of a good film. However, I have to say that I recognised none of these characteristics in Everything Everywhere All at once. For me, it was simply a convoluted mess that encompassed some naive notions of ""imaginary science"" alongside trite everyday woes. As for humour! I guess that's subjective, but banana skin slapstick is hardly sharp-end comedy. And for budding screenwriters, the depth of the dialogue between two incongruous rocks might be an example not to follow.
44 out of 55 found this helpful. Was this review helpful? Sign in to vote.
Permalink",2/10,21 March 2023,dart-62742,Everything Everywhere All at Once (2022),NEGATIVE
Insufferable Intolerance All at Once,"A lousy movie. The underlying themes are the best there are but are used in a way that is nothing short of shameful. Two and a half hours of pure dementia, arrogance and useless effects without any substance. I wonder how this film can be considered as the best of the first half of 2022. A waste of time, health, expectations and enthusiasm. Garbage.
134 out of 216 found this helpful. Was this review helpful? Sign in to vote.
Permalink",No rating,28 June 2022,SugarCottoncandy,Everything Everywhere All at Once (2022),NEGATIVE
Most accurate title ever,"This might be the most accurately titled film I have ever seen. Afterwards, my wife asked me what it reminded me of. I was stumped. What genre was it? Hard to say. This is a movie that morphs from immigrant drama to sci fi to Kung Fu to comedy to existential art flick and back again. Then it does that loop again, faster and faster and faster, without ever losing the audience. I saw it in a packed theater, everyone laughing and crying and caring. Perhaps most amazingly, this was a pretty simple and effective relationship story through it all. I don't know if I would rather watch it again right now or watch a documentary about how the film took shape. Either way, I'm glad it exists. I lamented multiverse stories after the last MCU film, and I guess I have to take that back now. It is possible to tell wildly imaginative genre bending multiverse stories. You just don't need superheroes to do it (unless you count the Daniels).
289 out of 619 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9/10,9 April 2022,cliftonofun,Everything Everywhere All at Once (2022),POSITIVE
"With its strong storyline and amazing parallel universes, this sci fi movie sets a new bar for sci fi","Michelle Yeoh headlines this head trip into the multi-verse. The first part is slow going as this reality is not suggested in the previews and thus somewhat lulls the audience into expecting something different. But what makes this movie really work is its underlying storyline even as reading subtitles and trying to understand what is going on during the first half of the movie takes a bit of mental endurance. Allowing for that though, this movie bursts at the seams in being everything all at once, sequentially that is, in two-dimensions trying to project a four-dimensional reality and a multitude of parallel universes that all include Michelle Yeoh in some form or fashion. This movie definitely breaks through to a new level of sci fi visual delight and sophistication along with a strong storyline. Like Inception (2010), this is a breakthrough movie setting a higher bar of sci fi movies in the future.
408 out of 899 found this helpful. Was this review helpful? Sign in to vote.
Permalink",9/10,9 April 2022,tabuno,Everything Everywhere All at Once (2022),POSITIVE
